"id","sku","labeling_unit_1","labeling_quantity_1","labeling_unit_2","labeling_quantity_2","labeling_unit_3","labeling_quantity_3","labeling_unit_4","labeling_quantity_4","labeling_unit_5","labeling_quantity_5","created_at","updated_at","customer_id"
"302","1KG+150-CAN","Case",15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:12:22-04","2024-06-14 11:12:22-04",2
"303","1KG+150G-USA","Case",15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:12:52-04","2024-06-14 11:12:52-04",2
"304","2x001CAN","Case",40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:13:43-04","2024-06-14 11:13:43-04",2
"305","2x001USA","Case",40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:14:27-04","2024-06-14 11:14:27-04",2
"306","S-16790","Each",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:14:46-04","2024-06-14 11:14:46-04",2
"307","S-22806","Each",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:15:39-04","2024-06-14 11:15:39-04",2
"308","testu","Case",100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-08-06 19:22:24-04","2024-08-06 19:23:07.066744-04",2
"310","TEST SKU","Each",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-12-26 12:03:42.940222-05","2024-12-26 14:11:11.166358-05",1
"311","13246467989","Case",23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-01-25 19:09:09.880172-05","2025-01-25 19:09:09.880687-05",4
"312","13465648765","Case",25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-01-25 20:05:49.605565-05","2025-01-25 20:05:49.605565-05",11
